Iteration,Accuracy,Latency_ms,Memory_MB,Score
1,25.0,90.91645050048828,18.03125,24.6061554145813
1,17.5,82.04051208496094,21.6875,17.140091616312663
1,17.5,84.55278015136719,22.46875,17.12897279103597
1,20.0,79.692626953125,16.59375,19.654119262695314
1,20.0,99.78077697753906,22.34375,19.56562697092692
1,25.0,92.01996612548828,25.0625,24.595698057810466
1,20.0,89.46646118164062,24.59375,19.606728286743163
1,20.0,82.04376220703125,20.9375,19.64070307413737
1,20.0,81.62823486328125,22.03125,19.64152297973633
1,25.0,87.78858184814453,24.0625,24.614162158966064
1,20.0,92.1882553100586,21.46875,19.597991644541423
1,25.0,76.39996337890625,22.96875,24.662526194254557
1,22.5,80.76776885986328,24.71875,22.142868671417236
1,25.0,88.0634765625,22.875,24.61400634765625
1,27.5,75.39755249023438,21.21875,27.168161239624023
1,25.0,82.30377197265625,17.53125,24.6424582417806
1,25.0,89.88819885253906,22.5,24.60671583811442
1,20.0,92.2547378540039,25.5625,19.594303175608317
1,20.0,79.14669036865234,17.8125,19.65537837346395
1,20.0,94.27678680419922,23.6875,19.58744047164917
2,27.5,75.39755249023438,21.21875,27.168161239624023
2,22.5,76.39996337890625,22.96875,22.162526194254557
2,20.0,82.30377197265625,17.53125,19.6424582417806
2,27.5,87.78858184814453,24.0625,27.114162158966064
2,30.0,88.0634765625,22.875,29.61400634765625
2,27.5,89.88819885253906,22.5,27.10671583811442
2,20.0,90.91645050048828,18.03125,19.6061554145813
2,22.5,92.01996612548828,25.0625,22.095698057810466
2,20.0,80.76776885986328,24.71875,19.642868671417236
2,20.0,79.14669036865234,17.8125,19.65537837346395
2,20.0,93.7319564819336,23.78125,19.589632472991944
2,20.0,83.14895629882812,24.59375,19.633051223754883
2,20.0,78.11607360839844,17.625,19.659828859965007
2,25.0,92.01996612548828,25.0625,24.595698057810466
2,20.0,83.38797760009766,22.84375,19.63351363499959
2,22.5,87.33943939208984,19.59375,22.119757544199626
2,25.0,81.94918823242188,22.65625,24.63966484069824
2,25.0,87.18831634521484,21.65625,24.618668473561605
2,20.0,82.15760040283203,24.71875,19.637077706654868
2,20.0,74.9438705444336,21.21875,19.67005158106486
3,25.0,88.0634765625,22.875,24.61400634765625
3,25.0,75.39755249023438,21.21875,24.668161239624023
3,17.5,87.78858184814453,24.0625,17.114162158966064
3,27.5,89.88819885253906,22.5,27.10671583811442
3,22.5,81.94918823242188,22.65625,22.13966484069824
3,22.5,87.18831634521484,21.65625,22.118668473561605
3,27.5,92.01996612548828,25.0625,27.095698057810466
3,25.0,76.39996337890625,22.96875,24.662526194254557
3,27.5,87.33943939208984,19.59375,27.119757544199626
3,32.5,92.01996612548828,25.0625,32.095698057810466
3,30.0,91.16586303710938,24.34375,29.599855779012046
3,25.0,89.7587661743164,25.53125,24.604729099273683
3,27.5,83.99685668945312,23.5,27.130429763793945
3,25.0,92.21701049804688,19.40625,24.599590581258138
3,32.5,89.63282012939453,25.71875,32.10509762446085
3,25.0,83.87714385986328,19.59375,24.634183775583903
3,25.0,92.35054016113281,22.21875,24.596690457661946
3,27.5,87.88986206054688,17.375,27.119313074747723
3,27.5,90.27694702148438,23.40625,27.104340845743813
3,25.0,84.86212921142578,20.46875,24.629350503285725
4,27.5,89.63282012939453,25.71875,27.105097624460857
4,27.5,92.01996612548828,25.0625,27.095698057810466
4,25.0,91.16586303710938,24.34375,24.599855779012046
4,25.0,83.99685668945312,23.5,24.630429763793945
4,32.5,87.33943939208984,19.59375,32.11975754419963
4,22.5,87.88986206054688,17.375,22.119313074747723
4,20.0,89.88819885253906,22.5,19.60671583811442
4,30.0,90.27694702148438,23.40625,29.604340845743813
4,22.5,92.01996612548828,25.0625,22.095698057810466
4,20.0,75.39755249023438,21.21875,19.668161239624023
4,25.0,90.4556884765625,25.71875,24.601669006347656
4,22.5,87.81620788574219,19.59375,22.117771008809406
4,22.5,88.93236541748047,25.5,22.108198477427166
4,25.0,87.83660888671875,20.46875,24.616956837972005
4,25.0,82.56482696533203,23.96875,24.636005929311118
4,22.5,88.09107971191406,18.125,22.117849667867024
4,22.5,79.92639923095703,21.8125,22.148796253204345
4,27.5,90.27694702148438,23.40625,27.104340845743813
4,25.0,82.10032653808594,23.9375,24.63796738942464
4,27.5,87.33943939208984,19.59375,27.119757544199626
5,25.0,87.33943939208984,19.59375,24.619757544199626
5,32.5,90.27694702148438,23.40625,32.10434084574381
5,32.5,87.33943939208984,19.59375,32.11975754419963
5,20.0,89.63282012939453,25.71875,19.605097624460857
5,25.0,90.27694702148438,23.40625,24.604340845743813
5,32.5,92.01996612548828,25.0625,32.095698057810466
5,22.5,82.10032653808594,23.9375,22.13796738942464
5,25.0,82.56482696533203,23.96875,24.636005929311118
5,20.0,83.99685668945312,23.5,19.630429763793945
5,22.5,87.83660888671875,20.46875,22.116956837972005
5,25.0,92.83024597167969,25.90625,24.591618766784666
5,25.0,85.56210327148438,18.84375,24.627788111368815
5,27.5,95.53177642822266,24.8125,27.081273848215737
