epoch,loss,train_acc,test_acc
1,1.522106622495959,50.73084677419355,0.0
2,1.0563788067909978,64.41532258064517,0.0
3,0.928337872989716,68.22076612903226,0.0
4,0.835294145730234,72.10181451612904,0.0
5,0.762479301421873,74.5211693548387,0.0
6,0.7029236382053744,76.00806451612904,0.0
7,0.6540983035679786,77.29334677419355,0.0
8,0.5905464382902268,80.19153225806451,0.0
9,0.5612062384043971,81.67842741935483,0.0
10,0.5397149588792555,81.60282258064517,78.52422907488987
